abundance	sealed	open	protected	nonprot	locked	infectious	inflock	infecad	infecjuv	recovad	recovjuv	susjuv	susad
0	0	0	0	0	0	0	0	1	0	0	0	392	607
1017	0	20	0	20	0	0	0	2	0	0	0	407	608
1025	0	20	0	19	0	0	0	4	2	0	0	413	606
1024	0	20	0	19	0	0	0	11	4	0	0	405	604
1023	0	20	0	18	0	0	0	19	9	0	0	403	592
1017	0	20	0	17	0	0	0	28	18	0	0	388	583
1009	0	20	0	17	0	0	0	47	17	0	0	380	565
998	0	20	0	15	0	1	0	65	28	0	0	360	545
992	0	20	0	12	0	1	0	102	46	0	0	338	506
976	0	20	0	6	0	2	0	142	78	0	0	305	451
953	0	20	0	2	0	0	0	210	118	0	0	264	361
912	0	19	0	0	0	2	0	297	171	1	0	200	243
846	0	19	0	0	0	1	0	372	223	3	1	124	123
790	0	18	0	0	0	2	0	409	240	5	1	78	57
725	0	18	0	0	0	3	0	395	254	7	2	50	17
658	0	17	0	0	0	6	0	364	241	15	3	32	3
598	0	14	0	0	0	5	0	324	229	23	4	18	0
551	1	13	0	0	0	5	2	281	212	34	8	16	0
503	1	7	0	0	0	2	4	240	183	50	13	17	0
480	1	4	0	0	0	2	6	209	171	62	23	15	0
458	2	4	0	0	0	1	11	166	145	94	36	17	0
447	4	1	0	0	0	0	27	113	127	140	53	14	0
438	8	0	0	0	1	0	52	53	106	192	70	17	0
438	11	0	2	0	0	0	84	26	81	219	85	27	0
438	16	0	3	0	0	0	130	8	64	237	99	30	0
436	18	0	3	0	0	0	178	3	54	243	106	30	0
435	20	0	5	0	0	0	215	0	37	244	116	38	0
435	20	0	7	0	0	0	247	0	32	245	116	42	0
438	20	0	8	0	0	0	279	0	32	244	118	44	0
444	20	0	8	0	0	0	316	0	37	248	116	43	0
447	20	0	9	0	0	0	349	0	33	248	121	45	0
454	20	0	9	0	0	0	382	0	33	248	125	48	0
454	20	0	9	0	0	0	412	0	30	248	128	48	0
451	20	0	10	0	0	0	439	0	27	248	127	49	0
455	20	0	12	0	0	0	462	0	23	249	128	55	0
469	20	0	14	0	0	0	479	0	17	251	130	71	0
475	20	0	14	0	0	0	493	0	14	251	132	78	0
482	20	0	14	0	0	0	508	0	15	253	130	84	0
486	20	0	15	0	0	0	519	0	11	256	127	92	0
490	20	0	15	0	0	0	530	0	11	257	126	96	0
494	20	0	15	0	0	0	539	0	9	260	122	103	0
498	20	0	16	0	0	0	547	0	8	263	120	107	0
508	20	0	17	0	0	0	552	0	5	265	117	121	0
510	20	0	17	0	0	0	556	0	4	267	114	125	0
512	20	0	18	0	0	0	558	0	2	271	110	129	0
518	20	0	18	0	0	0	560	0	2	275	106	135	0
521	20	0	18	0	0	0	562	0	2	279	102	138	0
525	20	0	18	0	0	0	564	0	2	282	98	143	0
530	20	0	18	0	0	0	566	0	2	285	94	149	0
536	20	0	19	0	0	0	568	0	2	286	94	154	0
545	20	0	19	0	0	0	570	0	2	290	90	163	0
546	20	0	19	0	0	0	572	0	2	288	89	167	0
556	20	0	19	0	0	0	573	0	1	297	78	180	0
561	20	0	19	0	0	0	574	0	1	301	72	187	0
572	20	0	19	0	0	0	575	0	1	301	72	198	0
583	20	0	20	0	0	0	575	0	0	304	69	210	0
593	20	0	20	0	0	0	575	0	0	304	68	221	0
598	20	0	20	0	0	0	575	0	0	304	66	228	0
605	20	0	20	0	0	0	575	0	0	305	65	235	0
612	20	0	20	0	0	0	575	0	0	306	63	243	0
620	20	0	20	0	0	0	575	0	0	310	59	251	0
633	20	0	20	0	0	0	575	0	0	314	54	265	0
643	20	0	20	0	0	0	575	0	0	317	51	275	0
651	20	0	20	0	0	0	575	0	0	321	46	284	0
659	20	0	20	0	0	0	575	0	0	322	43	294	0
662	20	0	20	0	0	0	575	0	0	326	37	299	0
673	20	0	20	0	0	0	575	0	0	328	33	312	0
680	20	0	20	0	0	0	575	0	0	329	31	320	0
690	20	0	20	0	0	0	575	0	0	330	28	332	0
700	20	0	20	0	0	0	575	0	0	331	26	343	0
712	20	0	20	0	0	0	575	0	0	332	24	356	0
718	19	0	19	0	0	0	575	0	0	336	19	362	1
728	16	0	16	0	0	0	575	0	0	339	16	369	4
736	14	0	14	0	0	0	575	0	0	340	15	374	7
745	14	0	14	0	0	0	575	0	0	343	11	384	7
748	11	0	11	0	0	0	575	0	0	344	8	383	13
753	10	0	10	0	0	0	575	0	0	343	8	386	16
757	7	0	7	0	0	0	575	0	0	343	6	387	21
770	6	0	6	0	0	0	575	0	0	343	6	397	24
776	6	0	6	0	0	0	575	0	0	344	4	402	26
781	6	0	6	0	0	0	575	0	0	342	4	405	30
787	5	0	5	0	0	0	575	0	0	343	2	411	31
800	5	0	5	0	0	0	575	0	0	341	2	420	37
809	5	0	5	0	0	0	575	0	0	341	2	425	41
819	5	0	5	0	0	0	575	0	0	340	2	435	42
828	4	0	4	0	0	0	575	0	0	339	2	439	48
832	4	0	4	0	0	0	575	0	0	337	2	431	62
838	2	0	2	0	0	0	575	0	0	338	1	431	68
845	2	0	2	0	0	0	575	0	0	339	0	434	72
854	2	0	2	0	0	0	575	0	0	339	0	436	79
859	2	0	2	0	0	0	575	0	0	338	0	438	83
869	2	0	2	0	0	0	575	0	0	338	0	444	87
877	2	0	2	0	0	0	575	0	0	337	0	447	93
885	1	0	1	0	0	0	575	0	0	337	0	442	106
897	1	0	1	0	0	0	575	0	0	336	0	451	110
904	0	0	0	0	0	0	575	0	0	336	0	454	114
914	0	0	0	0	0	0	575	0	0	336	0	459	119
922	0	0	0	0	0	0	575	0	0	336	0	464	122
930	0	0	0	0	0	0	575	0	0	335	0	469	126
935	0	0	0	0	0	0	575	0	0	335	0	468	132
942	0	0	0	0	0	0	575	0	0	334	0	469	139
949	0	0	0	0	0	0	575	0	0	334	0	468	147
954	0	0	0	0	0	0	575	0	0	334	0	469	151
958	0	0	0	0	0	0	575	0	0	334	0	461	163
959	0	0	0	0	0	0	575	0	0	333	0	458	168
966	0	0	0	0	0	0	575	0	0	332	0	457	177
969	0	0	0	0	0	0	575	0	0	332	0	448	189
974	0	0	0	0	0	0	575	0	0	332	0	445	197
982	0	0	0	0	0	0	575	0	0	332	0	446	204
986	0	0	0	0	0	0	575	0	0	331	0	446	209
992	0	0	0	0	0	0	575	0	0	331	0	444	217
995	0	0	0	0	0	0	575	0	0	331	0	439	225
998	0	0	0	0	0	0	575	0	0	331	0	427	240
999	0	0	0	0	0	0	575	0	0	331	0	419	249
998	0	0	0	0	0	0	575	0	0	329	0	412	257
1006	0	0	0	0	0	0	575	0	0	329	0	410	267
1006	0	0	0	0	0	0	575	0	0	329	0	407	270
1013	0	0	0	0	0	0	575	0	0	328	0	404	281
1015	0	0	0	0	0	0	575	0	0	328	0	399	288
1014	0	0	0	0	0	0	575	0	0	328	0	387	299
1018	0	0	0	0	0	0	575	0	0	327	0	382	309
1020	0	0	0	0	0	0	575	0	0	327	0	374	319
1022	0	0	0	0	0	0	575	0	0	326	0	372	324
1022	0	0	0	0	0	0	575	0	0	324	0	366	332
1022	0	0	0	0	0	0	575	0	0	322	0	361	339
1021	0	0	0	0	0	0	575	0	0	322	0	351	348
1021	0	0	0	0	0	0	575	0	0	321	0	347	353
1021	0	0	0	0	0	0	575	0	0	321	0	344	356
1028	0	0	0	0	0	0	575	0	0	321	0	343	364
1030	0	0	0	0	0	0	575	0	0	321	0	332	377
1031	0	0	0	0	0	0	575	0	0	320	0	328	383
1032	0	0	0	0	0	0	575	0	0	320	0	321	391
1032	0	0	0	0	0	0	575	0	0	319	0	314	399
1033	0	0	0	0	0	0	575	0	0	318	0	306	409
1034	0	0	0	0	0	0	575	0	0	318	0	298	418
1038	0	0	0	0	0	0	575	0	0	317	0	292	429
1039	0	0	0	0	0	0	575	0	0	317	0	283	439
1039	0	0	0	0	0	0	575	0	0	316	0	278	445
1041	0	0	0	0	0	0	575	0	0	316	0	273	452
1044	0	0	0	0	0	0	575	0	0	314	0	271	459
1043	0	0	0	0	0	0	575	0	0	312	0	264	467
1046	0	0	0	0	0	0	575	0	0	309	0	264	473
1047	0	0	0	0	0	0	575	0	0	309	0	258	480
1045	0	0	0	0	0	0	575	0	0	307	0	249	489
1045	0	0	0	0	0	0	575	0	0	305	0	244	496
1049	0	0	0	0	0	0	575	0	0	305	0	236	508
1046	0	0	0	0	0	0	575	0	0	303	0	228	515
1051	0	0	0	0	0	0	575	0	0	302	0	227	522
1053	0	0	0	0	0	0	575	0	0	302	0	221	530
1053	0	0	0	0	0	0	575	0	0	301	0	212	540
1055	0	0	0	0	0	0	575	0	0	300	0	209	546
1058	0	0	0	0	0	0	575	0	0	300	0	203	555
1060	0	0	0	0	0	0	575	0	0	300	0	198	562
1058	0	0	0	0	0	0	575	0	0	298	0	193	567
1058	0	0	0	0	0	0	575	0	0	297	0	193	568
1058	0	0	0	0	0	0	575	0	0	297	0	189	572
1061	0	0	0	0	0	0	575	0	0	297	0	186	578
1063	0	0	0	0	0	0	575	0	0	296	0	184	583
1072	0	0	0	0	0	0	575	0	0	296	0	188	588
1072	0	0	0	0	0	0	575	0	0	296	0	184	592
1071	0	0	0	0	0	0	575	0	0	296	0	180	595
1071	0	0	0	0	0	0	575	0	0	295	0	174	602
1072	0	0	0	0	0	0	575	0	0	295	0	174	603
1073	0	0	0	0	0	0	575	0	0	295	0	172	606
1072	0	0	0	0	0	0	575	0	0	295	0	170	607
1074	0	0	0	0	0	0	575	0	0	294	0	171	609
1071	0	0	0	0	0	0	575	0	0	294	0	164	613
1069	0	0	0	0	0	0	575	0	0	293	0	166	610
1069	0	0	0	0	0	0	575	0	0	293	0	159	617
1069	0	0	0	0	0	0	575	0	0	292	0	158	619
1067	0	0	0	0	0	0	575	0	0	291	0	157	619
1064	0	0	0	0	0	0	575	0	0	289	0	151	624
1068	0	0	0	0	0	0	575	0	0	289	0	154	625
1074	0	0	0	0	0	0	575	0	0	289	0	159	626
1077	0	0	0	0	0	0	575	0	0	289	0	158	630
1074	0	0	0	0	0	0	575	0	0	288	0	155	631
1075	0	0	0	0	0	0	575	0	0	287	0	157	631
1074	0	0	0	0	0	0	575	0	0	286	0	156	632
1074	0	0	0	0	0	0	575	0	0	285	0	158	631
1073	0	0	0	0	0	0	575	0	0	284	0	150	639
1068	0	0	0	0	0	0	575	0	0	282	0	147	639
1073	0	0	0	0	0	0	575	0	0	282	0	151	640
1073	0	0	0	0	0	0	575	0	0	282	0	150	641
1071	0	0	0	0	0	0	575	0	0	280	0	152	639
1072	0	0	0	0	0	0	575	0	0	280	0	153	639
1075	0	0	0	0	0	0	575	0	0	280	0	157	638
1081	0	0	0	0	0	0	575	0	0	280	0	157	644
1078	0	0	0	0	0	0	575	0	0	279	0	155	644
1080	0	0	0	0	0	0	575	0	0	279	0	154	647
1078	0	0	0	0	0	0	575	0	0	278	0	151	649
1081	0	0	0	0	0	0	575	0	0	278	0	153	650
1080	0	0	0	0	0	0	575	0	0	278	0	152	650
1078	0	0	0	0	0	0	575	0	0	278	0	147	653
1082	0	0	0	0	0	0	575	0	0	278	0	149	655
1081	0	0	0	0	0	0	575	0	0	278	0	149	654
1082	0	0	0	0	0	0	575	0	0	278	0	147	657
1080	0	0	0	0	0	0	575	0	0	278	0	140	662
1077	0	0	0	0	0	0	575	0	0	278	0	138	661
1078	0	0	0	0	0	0	575	0	0	277	0	133	668
1079	0	0	0	0	0	0	575	0	0	277	0	133	669
1076	0	0	0	0	0	0	575	0	0	275	0	132	669
1074	0	0	0	0	0	0	575	0	0	274	0	130	670
1074	0	0	0	0	0	0	575	0	0	273	0	131	670
1074	0	0	0	0	0	0	575	0	0	272	0	128	674
1078	0	0	0	0	0	0	575	0	0	271	0	134	673
1083	0	0	0	0	0	0	575	0	0	271	0	134	678
1087	0	0	0	0	0	0	575	0	0	271	0	138	678
1087	0	0	0	0	0	0	575	0	0	271	0	132	684
1087	0	0	0	0	0	0	575	0	0	271	0	130	686
1084	0	0	0	0	0	0	575	0	0	270	0	119	695
1089	0	0	0	0	0	0	575	0	0	269	0	123	697
1092	0	0	0	0	0	0	575	0	0	269	0	127	696
1094	0	0	0	0	0	0	575	0	0	269	0	132	693
1097	0	0	0	0	0	0	575	0	0	268	0	132	697
1095	0	0	0	0	0	0	575	0	0	268	0	131	696
1093	0	0	0	0	0	0	575	0	0	268	0	130	695
1091	0	0	0	0	0	0	575	0	0	267	0	126	698
1086	0	0	0	0	0	0	575	0	0	264	0	127	695
1085	0	0	0	0	0	0	575	0	0	263	0	127	695
1088	0	0	0	0	0	0	575	0	0	263	0	131	694
1088	0	0	0	0	0	0	575	0	0	263	0	129	696
1088	0	0	0	0	0	0	575	0	0	263	0	131	694
1088	0	0	0	0	0	0	575	0	0	263	0	131	694
1089	0	0	0	0	0	0	575	0	0	263	0	130	696
1088	0	0	0	0	0	0	575	0	0	262	0	127	699
1090	0	0	0	0	0	0	575	0	0	261	0	127	702
1088	0	0	0	0	0	0	575	0	0	261	0	127	700
1087	0	0	0	0	0	0	575	0	0	261	0	128	698
1083	0	0	0	0	0	0	575	0	0	260	0	127	696
1082	0	0	0	0	0	0	575	0	0	260	0	122	700
1080	0	0	0	0	0	0	575	0	0	260	0	121	699
1079	0	0	0	0	0	0	575	0	0	260	0	121	698
1081	0	0	0	0	0	0	575	0	0	260	0	119	702
1081	0	0	0	0	0	0	575	0	0	260	0	120	701
1083	0	0	0	0	0	0	575	0	0	259	0	122	702
1086	0	0	0	0	0	0	575	0	0	259	0	122	705
1085	0	0	0	0	0	0	575	0	0	259	0	117	709
1082	0	0	0	0	0	0	575	0	0	258	0	110	714
1080	0	0	0	0	0	0	575	0	0	257	0	110	713
1081	0	0	0	0	0	0	575	0	0	256	0	111	714
1086	0	0	0	0	0	0	575	0	0	255	0	119	712
1083	0	0	0	0	0	0	575	0	0	255	0	114	714
1082	0	0	0	0	0	0	575	0	0	254	0	114	714
1081	0	0	0	0	0	0	575	0	0	254	0	113	714
1081	0	0	0	0	0	0	575	0	0	254	0	111	716
1080	0	0	0	0	0	0	575	0	0	253	0	110	717
1079	0	0	0	0	0	0	575	0	0	253	0	109	717
1077	0	0	0	0	0	0	575	0	0	253	0	108	716
1077	0	0	0	0	0	0	575	0	0	251	0	113	713
1077	0	0	0	0	0	0	575	0	0	251	0	111	715
1079	0	0	0	0	0	0	575	0	0	251	0	112	716
1079	0	0	0	0	0	0	575	0	0	250	0	113	716
1076	0	0	0	0	0	0	575	0	0	249	0	115	712
1076	0	0	0	0	0	0	575	0	0	249	0	114	713
1075	0	0	0	0	0	0	575	0	0	249	0	111	715
1079	0	0	0	0	0	0	575	0	0	249	0	109	721
1077	0	0	0	0	0	0	575	0	0	249	0	104	724
1076	0	0	0	0	0	0	575	0	0	249	0	99	728
1077	0	0	0	0	0	0	575	0	0	249	0	101	727
1079	0	0	0	0	0	0	575	0	0	248	0	104	727
1079	0	0	0	0	0	0	575	0	0	248	0	104	727
1078	0	0	0	0	0	0	575	0	0	248	0	97	733
1078	0	0	0	0	0	0	575	0	0	248	0	94	736
1076	0	0	0	0	0	0	575	0	0	247	0	89	740
1075	0	0	0	0	0	0	575	0	0	246	0	87	742
1076	0	0	0	0	0	0	575	0	0	246	0	89	741
1073	0	0	0	0	0	0	575	0	0	245	0	89	739
1070	0	0	0	0	0	0	575	0	0	244	0	89	737
1069	0	0	0	0	0	0	575	0	0	241	0	88	740
1065	0	0	0	0	0	0	575	0	0	240	0	84	741
1068	0	0	0	0	0	0	575	0	0	240	0	82	746
1067	0	0	0	0	0	0	575	0	0	240	0	83	744
1066	0	0	0	0	0	0	575	0	0	239	0	83	744
1067	0	0	0	0	0	0	575	0	0	239	0	84	744
1064	0	0	0	0	0	0	575	0	0	239	0	80	745
1062	0	0	0	0	0	0	575	0	0	238	0	77	747
1061	0	0	0	0	0	0	575	0	0	238	0	74	749
1060	0	0	0	0	0	0	575	0	0	238	0	76	746
1059	0	0	0	0	0	0	575	0	0	237	0	75	747
1056	0	0	0	0	0	0	575	0	0	235	0	75	746
1056	0	0	0	0	0	0	575	0	0	235	0	75	746
1053	0	0	0	0	0	0	575	0	0	235	0	75	743
1053	0	0	0	0	0	0	575	0	0	234	0	77	742
1052	0	0	0	0	0	0	575	0	0	233	0	74	745
1054	0	0	0	0	0	0	575	0	0	233	0	76	745
1052	0	0	0	0	0	0	575	0	0	232	0	73	747
1052	0	0	0	0	0	0	575	0	0	232	0	69	751
1052	0	0	0	0	0	0	575	0	0	232	0	69	751
1051	0	0	0	0	0	0	575	0	0	232	0	69	750
1054	0	0	0	0	0	0	575	0	0	232	0	72	750
1060	0	0	0	0	0	0	575	0	0	232	0	78	750
1056	0	0	0	0	0	0	575	0	0	231	0	69	756
1054	0	0	0	0	0	0	575	0	0	230	0	70	754
1052	0	0	0	0	0	0	575	0	0	230	0	71	751
1051	0	0	0	0	0	0	575	0	0	230	0	73	748
1050	0	0	0	0	0	0	575	0	0	230	0	72	748
1053	0	0	0	0	0	0	575	0	0	230	0	74	749
1051	0	0	0	0	0	0	575	0	0	230	0	76	745
1053	0	0	0	0	0	0	575	0	0	230	0	79	744
1051	0	0	0	0	0	0	575	0	0	230	0	74	747
1047	0	0	0	0	0	0	575	0	0	230	0	74	743
1045	0	0	0	0	0	0	575	0	0	229	0	71	745
1047	0	0	0	0	0	0	575	0	0	229	0	74	744
1046	0	0	0	0	0	0	575	0	0	228	0	73	745
1046	0	0	0	0	0	0	575	0	0	228	0	71	747
1050	0	0	0	0	0	0	575	0	0	228	0	77	745
1047	0	0	0	0	0	0	575	0	0	227	0	73	747
1049	0	0	0	0	0	0	575	0	0	225	0	78	746
