abundance	sealed	open	protected	nonprot	locked	infectious	inflock	infecad	infecjuv	recovad	recovjuv	susjuv	susad
0	0	0	0	0	0	0	0	0	1	0	0	380	619
1021	0	20	0	19	0	0	0	0	4	0	0	396	621
1027	0	20	0	19	0	0	0	0	6	0	0	392	629
1028	0	20	0	19	0	0	0	3	8	0	0	395	622
1025	0	20	0	18	0	0	0	11	14	0	0	382	618
1023	0	20	0	17	0	0	0	16	22	0	0	370	615
1013	0	20	0	16	0	0	0	26	22	0	0	365	600
1010	0	20	0	12	0	1	0	44	36	0	0	348	582
1001	0	20	0	10	0	0	0	77	56	0	0	325	543
986	0	20	0	5	0	0	0	120	96	0	0	286	484
957	0	20	0	1	0	0	0	192	146	0	0	234	385
915	0	20	0	1	0	1	0	278	197	0	1	169	270
858	0	20	0	0	0	2	0	340	237	0	2	110	169
793	0	19	0	0	0	3	0	381	272	3	1	63	73
739	0	19	0	0	0	5	0	396	282	6	3	33	19
683	0	17	0	0	0	5	0	373	262	10	7	24	7
614	0	17	0	0	0	7	0	329	250	12	10	12	1
571	0	15	0	0	0	6	0	293	227	18	18	14	1
527	1	13	0	0	0	4	4	255	198	30	24	20	0
498	1	6	0	0	0	2	7	208	187	52	38	13	0
475	4	3	0	0	0	0	16	159	150	92	60	14	0
457	5	1	2	0	0	0	22	107	124	130	82	14	0
447	6	0	2	0	0	0	35	69	99	162	103	14	0
437	10	0	2	0	0	0	65	31	72	203	116	15	0
438	15	0	4	0	0	0	99	7	55	229	127	20	0
432	18	0	6	0	0	0	136	2	44	234	128	24	0
433	20	0	6	0	0	0	173	0	37	240	130	26	0
439	20	0	7	0	0	0	205	0	32	242	132	33	0
437	20	0	8	0	0	0	229	0	24	244	135	34	0
439	20	0	10	0	0	0	248	0	19	244	139	37	0
448	20	0	10	0	0	0	267	0	19	246	138	45	0
450	20	0	10	0	0	0	286	0	19	252	133	46	0
454	20	0	11	0	0	0	302	0	16	255	132	51	0
459	20	0	12	0	0	0	318	0	16	258	130	55	0
467	20	0	13	0	0	0	330	0	12	260	128	67	0
470	20	0	14	0	0	0	341	0	11	259	130	70	0
476	20	0	15	0	0	0	349	0	8	261	126	81	0
483	20	0	15	0	0	0	359	0	10	262	126	85	0
492	20	0	15	0	0	0	368	0	9	266	123	94	0
497	20	0	15	0	0	0	376	0	8	265	124	100	0
503	20	0	16	0	0	0	383	0	7	270	120	106	0
507	20	0	17	0	0	0	390	0	7	271	119	110	0
513	20	0	16	0	0	0	401	0	11	272	118	112	0
523	20	0	16	0	0	0	412	0	11	273	116	123	0
536	20	0	16	0	0	0	423	0	11	279	110	136	0
